Date,CPIAUCSL
1/1/19,252.47
2/1/19,253.135
3/1/19,254.273
4/1/19,255.163
5/1/19,255.325
6/1/19,255.361
7/1/19,255.9
8/1/19,256.179
9/1/19,256.596
10/1/19,257.305
11/1/19,257.788
12/1/19,258.263
1/1/20,258.682
2/1/20,259.007
3/1/20,258.165
4/1/20,256.094
5/1/20,255.944
6/1/20,257.217
7/1/20,258.543
8/1/20,259.58
9/1/20,260.19
10/1/20,260.352
11/1/20,260.721
12/1/20,261.564
1/1/21,262.2
2/1/21,263.346
3/1/21,265.028
4/1/21,266.727
5/1/21,268.599
6/1/21,270.955
7/1/21,272.184
8/1/21,273.092
9/1/21,274.214
10/1/21,276.59
11/1/21,278.524
12/1/21,280.126
1/1/22,281.933
2/1/22,284.182
3/1/22,287.708
4/1/22,288.663
5/1/22,291.474
6/1/22,295.328
7/1/22,295.271
8/1/22,295.62